bezirk,gruppe,jahr_2010,jahr_2022,differenz_2022_minus_2010
Birmensdorf (ZH),mean_erw_18_64,42.124824026278745,42.501614639397204,0.37679061311845885
Birmensdorf (ZH),mean_erw_65plus,76.03899721448468,74.31524547803618,-1.7237517364485058
Bonstetten,mean_kinder_0_12,6.8998664886515355,6.330817610062893,-0.5690488785886423
Bonstetten,mean_erw_18_64,43.23940800928613,42.05101143359718,-1.188396575688948
Bonstetten,mean_erw_65plus,75.03148854961832,73.21958456973294,-1.811903979885372
Boppelsen,mean_kinder_0_12,6.841269841269841,6.444444444444445,-0.3968253968253963
Boppelsen,mean_erw_18_64,43.496629213483146,43.94088669950739,0.44425748602424164
Boppelsen,mean_erw_65plus,75.01683501683502,72.67,-2.3468350168350156
Brütten,mean_kinder_0_12,6.432727272727273,6.556603773584905,0.1238765008576328
Brütten,mean_erw_18_64,44.22247882986913,43.17536704730832,-1.0471117825608118
Brütten,mean_erw_65plus,75.58044806517312,73.48484848484848,-2.095599580324631
Bubikon,mean_kinder_0_12,6.809168443496802,6.624035281146638,-0.18513316235016397
Bubikon,mean_erw_18_64,42.947086403215,42.4128895184136,-0.5341968848014034
Bubikon,mean_erw_65plus,75.30955259975816,74.2198316183349,-1.0897209814232696
Buch am Irchel,mean_kinder_0_12,6.834394904458598,6.559701492537314,-0.2746934119212847
Buch am Irchel,mean_erw_18_64,43.32263242375602,41.704391891891895,-1.6182405318641244
Buch am Irchel,mean_erw_65plus,74.07329842931937,73.1826923076923,-0.8906061216270587
Buchs (ZH),mean_kinder_0_12,6.336196319018405,6.602721088435374,0.2665247694169697
Buchs (ZH),mean_erw_18_64,41.955028248587574,40.66341963599077,-1.2916086125968036
Buchs (ZH),mean_erw_65plus,74.4933586337761,73.19022687609075,-1.3031317576853496
Bäretswil,mean_kinder_0_12,6.657575757575757,6.6609375,0.0033617424242429195
Bäretswil,mean_erw_18_64,43.77896138482024,42.02418574653338,-1.7547756382868656
Bäretswil,mean_erw_65plus,75.36144578313252,74.03002610966057,-1.3314196734719559
Bülach,mean_kinder_0_12,6.320701534606953,6.455861746847267,0.13516021224031416
Bülach,mean_erw_18_64,40.515044247787614,40.121103117505996,-0.39394113028161826
Bülach,mean_erw_65plus,75.91085461689588,74.45767575322812,-1.453178863667759
Dachsen,mean_kinder_0_12,6.9855072463768115,6.937282229965157,-0.048225016411654664
Dachsen,mean_erw_18_64,44.23044575273339,42.58758503401361,-1.6428607187197812
Dachsen,mean_erw_65plus,75.65079365079364,74.14029850746269,-1.5104951433309566
Dielsdorf,mean_kinder_0_12,6.575510204081633,6.582496413199426,0.0069862091177927965
Dielsdorf,mean_erw_18_64,41.6718000504923,41.03907867494824,-0.6327213755440582
Dielsdorf,mean_erw_65plus,75.26695278969957,74.1640826873385,-1.1028701023610665
Dietikon,mean_kinder_0_12,6.255902306648576,6.341772151898734,0.0858698452501585
Dietikon,mean_erw_18_64,40.34370314842579,39.78376792698827,-0.5599352214375202
Dietikon,mean_erw_65plus,76.42497793468667,74.89781021897811,-1.5271677157085577
Dietlikon,mean_kinder_0_12,6.65553235908142,6.435239206534423,-0.2202931525469971
Dietlikon,mean_erw_18_64,41.974375,41.555506607929516,-0.4188683920704861
Dietlikon,mean_erw_65plus,76.50147841513898,74.19938650306749,-2.3020919120714893
Dinhard,mean_kinder_0_12,6.323651452282157,6.385474860335195,0.06182340805303799
Dinhard,mean_erw_18_64,43.167652859960555,43.023068050749714,-0.1445848092108406
Dinhard,mean_erw_65plus,75.52467532467533,73.5056603773585,-2.0190149473168333
Dorf,mean_kinder_0_12,6.395604395604396,7.608695652173913,1.213091256569517
Dorf,mean_erw_18_64,43.896995708154506,42.857142857142854,-1.039852851011652
Dorf,mean_erw_65plus,74.90551181102362,73.71428571428571,-1.191226096737907
Dägerlen,mean_kinder_0_12,7.03,6.666666666666667,-0.3633333333333333
Dägerlen,mean_erw_18_64,43.12867132867133,42.33183856502242,-0.7968327636489079
Dägerlen,mean_erw_65plus,73.56459330143541,75.05882352941177,1.4942302279763595
Dällikon,mean_kinder_0_12,6.408710217755444,6.408510638297872,-1.9957945757198559e-4
Dällikon,mean_erw_18_64,42.457427202359014,41.35349794238683,-1.1039292599721833
Dällikon,mean_erw_65plus,75.08530183727034,72.6614785992218,-2.4238232380485414
Dänikon,mean_kinder_0_12,6.823529411764706,6.188679245283019,-0.6348501664816864
Dänikon,mean_erw_18_64,43.37395659432387,40.83456425406204,-2.539392340261834
Dänikon,mean_erw_65plus,73.9311377245509,73.6524064171123,-0.27873130743859065
Dättlikon,mean_kinder_0_12,6.970873786407767,5.953125,-1.0177487864077666
Dättlikon,mean_erw_18_64,44.67196819085487,41.892561983471076,-2.7794062073837935
Dättlikon,mean_erw_65plus,75.15950920245399,72.91428571428571,-2.2452234881682784
Dübendorf,mean_kinder_0_12,6.346655564807105,6.339315387171818,-0.0073401776352870485
Dübendorf,mean_erw_18_64,40.96535652508168,40.694884175783876,-0.2704723492978047
Dübendorf,mean_erw_65plus,76.65732024834769,74.95214866434378,-1.7051715840039066
Dürnten,mean_kinder_0_12,6.575052854122622,6.673889490790899,0.09883663666827758
Dürnten,mean_erw_18_64,42.85649484536083,41.9002108222066,-0.9562840231542253
Dürnten,mean_erw_65plus,75.24191461836999,74.704995287464655,-0.5369193309053344
Egg,mean_kinder_0_12,6.951492537313433,6.711538461538462,-0.2399540757749712
Egg,mean_erw_18_64,43.86397694524496,42.63168356191612,-1.2322933833288374
Egg,mean_erw_65plus,76.17332035053553,74.13966836734694,-2.033651983188591
Eglisau,mean_kinder_0_12,6.7212903225806455,6.32,-0.40129032258064523
Eglisau,mean_erw_18_64,42.86682450429121,42.103854389721626,-0.7629701145695833
Eglisau,mean_erw_65plus,75.46946564885496,74.05144694533762,-1.4180187035173475
Elgg,mean_kinder_0_12,6.62125748502994,6.615853658536586,-0.005403826493354025
Elgg,mean_erw_18_64,42.777096774193545,41.408016032064126,-1.3690807421294195
Elgg,mean_erw_65plus,75.77734753146176,75.05907172995781,-0.7182758015039497
Ellikon an der Thur,mean_kinder_0_12,6.888888888888889,6.631578947368421,-0.25730994152046804
Ellikon an der Thur,mean_erw_18_64,43.11470588235294,41.71084337349398,-1.403862508858964
Ellikon an der Thur,mean_erw_65plus,74.35057471264368,74.8119658119658,0.4613910993221282
Elsau,mean_kinder_0_12,6.802547770700637,6.571065989847716,-0.23148178085292148
Elsau,mean_erw_18_64,43.183527305282006,42.30902290790089,-0.8745043973811164
Elsau,mean_erw_65plus,75.1787072243346,74.2890756302521,-0.8896315940825019
Embrach,mean_kinder_0_12,6.570863024544734,6.475785896346644,-0.09507712819809022
Embrach,mean_erw_18_64,41.834736513875896,41.175822340958426,-0.6589141729174699
Embrach,mean_erw_65plus,75.37215751525235,73.57296849087894,-1.799189024373419
